id|user|created_at|text|lang|label|retweet_count|favorite_count
1507192399252054019|521747968|Fri Mar 25 03:07:24 +0000 2022|I questioned Supreme Court nominee Judge Ketanji Brown Jackson on the Fourth Amendment protection against unreasona… https://t.co/uDQLvM8GWN|en|D|124|1238
1507177237094838275|521747968|Fri Mar 25 02:07:09 +0000 2022|I questioned Supreme Court nominee Judge Ketanji Brown Jackson on the Sixth Amendment, Gideon v. Wainwright, and th… https://t.co/zd8IdjWlmP|en|D|248|2383
1507121314867392520|521747968|Thu Mar 24 22:24:57 +0000 2022|Press freedom is vital to a free society. I questioned Supreme Court nominee Judge Ketanji Brown Jackson about the… https://t.co/RxPI4lPxkn|en|D|104|771
1507051623939518470|521747968|Thu Mar 24 17:48:01 +0000 2022|Privacy is essential to our civil liberties and new technologies can create new privacy risks. I asked SCOTUS nomin… https://t.co/Mzcjna9JVm|en|D|111|659
1507017429787967494|521747968|Thu Mar 24 15:32:08 +0000 2022|“Presidents are not kings.” I questioned Supreme Court nominee Judge Ketanji Brown Jackson about Constitutional pro… https://t.co/PkzvlBkqCw|en|D|281|2328
1500893265184309255|521747968|Mon Mar 07 17:56:54 +0000 2022|Solid in-depth reporting on my legislation to help protect coastal Georgia from flooding and tropical storms. https://t.co/SU7cgkavJa|en|D|52|272
1494334466034057222|521747968|Thu Feb 17 15:34:34 +0000 2022|"PRISON REFORM: Today @SenatorBraun and I formed the Bipartisan Prison Policy Working Group.

The Working Group will… https://t.co/JWtlqr7GG7"|en|D|109|640
1494327297746214919|521747968|Thu Feb 17 15:06:05 +0000 2022|"CIVIL RIGHTS: Today I introduced bipartisan legislation with Sen. @TedCruz to solve civil rights cold cases.

Victi… https://t.co/jt7Q5cfYMR"|en|D|450|4321
1492677005883711490|521747968|Sun Feb 13 01:48:25 +0000 2022|"It's working.
https://t.co/hTaVhIwP0V"|en|D|1030|10558
1492567551305519107|521747968|Sat Feb 12 18:33:29 +0000 2022|GEORGIA: This week I introduced the Tybee Island Storm Risk Management Act w/ @SenatorWarnock to reinforce beautifu… https://t.co/7ai7KzHA9Y|en|D|199|1384
1492231291781136385|521747968|Fri Feb 11 20:17:18 +0000 2022|"Data brokers shouldn't be allowed to collect and resell our personal info without our consent.

That's why… https://t.co/Xq4PJJa29p"|en|D|1037|7078
1492125488449560577|521747968|Fri Feb 11 13:16:53 +0000 2022|Good morning!|en|D|267|7414
1491916308665049088|521747968|Thu Feb 10 23:25:41 +0000 2022|PRIVACY: Today @SenBillCassidy and I introduced the bipartisan DELETE Act, requiring data brokers to delete and sto… https://t.co/druhig0DnT|en|D|1327|8220
1491886164751626252|521747968|Thu Feb 10 21:25:54 +0000 2022|https://t.co/b5xtCr3S0J https://t.co/GE4s6plG3v|und|D|96|691
1491843897340923913|521747968|Thu Feb 10 18:37:56 +0000 2022|GEORGIA: Today I introduced the Chattahoochee River Act to protect and preserve this precious natural resource.|en|D|641|6741
1491473285523062784|521747968|Wed Feb 09 18:05:16 +0000 2022|Keep pushing! https://t.co/KNNsCWGdFj|en|D|295|2041
1491406293369720832|521747968|Wed Feb 09 13:39:03 +0000 2022|Big! Keep pushing! https://t.co/b5xtCqMgC9 https://t.co/SuZUReWecz|en|D|269|1443
1491182944740061184|521747968|Tue Feb 08 22:51:33 +0000 2022|It's working. https://t.co/dz6u03NNfz|en|D|1338|15095
1490439500719435777|521747968|Sun Feb 06 21:37:22 +0000 2022|It's working. Keep pushing. https://t.co/eExkWoxGeo|en|D|1466|11498
1487208355630305282|521747968|Fri Jan 28 23:37:57 +0000 2022|BREAKING: This left, right, center coalition just called for passage of my Ban Congressional Stock Trading Act:… https://t.co/oCkQWzFG0A|en|D|1055|6830
1487184402639687680|521747968|Fri Jan 28 22:02:46 +0000 2022|Infrastructure! https://t.co/6LIbj1qpYz|ca|D|113|1460
1487113711294849034|521747968|Fri Jan 28 17:21:52 +0000 2022|"I’m on the road across Georgia:

1. Briefing leaders on infrastructure investments coming soon

2. Listening to con… https://t.co/LtG8KKVLMg"|en|D|132|983
1486723177577209863|521747968|Thu Jan 27 15:30:02 +0000 2022|"Simple: Sign the petition to ban Members of Congress from trading stocks at https://t.co/b5xtCqMgC9

3/4 of America… https://t.co/ablOYo0iDr"|en|D|984|3442
1486544649804300288|521747968|Thu Jan 27 03:40:37 +0000 2022|"This petition doesn’t ask you for money after you sign it.

https://t.co/vgPwOzcVSj"|en|D|500|1785
1486504158769389571|521747968|Thu Jan 27 00:59:44 +0000 2022|"Sign the petition to ban stock trading by Members of Congress (and our spouses).

3/4 of Americans agree!

Keep bui… https://t.co/ZWgCPyES9h"|en|D|435|1341
1484663342853763079|521747968|Fri Jan 21 23:04:59 +0000 2022|One year since I was sworn in, some highlights from inside the U.S. Senate: https://t.co/FBwZxPqcrJ|en|D|697|5056
1484299912657309698|521747968|Thu Jan 20 23:00:50 +0000 2022|.@SenMarkKelly and I just this minute introduced the Ban Corporate PACs Act. 🚀 https://t.co/FeYICJmv8G|en|D|532|4021
1484288438912303110|521747968|Thu Jan 20 22:15:15 +0000 2022|Ban corporate PACs.|es|D|1801|15262
1483443213193129991|521747968|Tue Jan 18 14:16:37 +0000 2022|Clearing the trail together — an afternoon of service with the Westside Atlanta Watershed Alliance. #MLKday https://t.co/heKcIhRpti|en|D|108|1385
1483229367794810881|521747968|Tue Jan 18 00:06:53 +0000 2022|Service builds community. #MLKDay https://t.co/jei8CsTPp7|en|D|273|3647
1483215574582927362|521747968|Mon Jan 17 23:12:04 +0000 2022|Thanks to all who gave back to the community on MLK Day with Hosea Helps, distributing donated food to Georgia fami… https://t.co/Ql6S2JFksL|en|D|246|1925
1481419087716786182|521747968|Thu Jan 13 00:13:28 +0000 2022|"Tonight I introduced legislation to ban Members of Congress (and our spouses) from trading stocks. 

3/4 of Americans agree!"|en|D|42447|399140
1480771010324541440|521747968|Tue Jan 11 05:18:14 +0000 2022|Congratulations UGA! Dawgs on top! #GoDawgs https://t.co/CFm16VIyDp|en|D|192|2685
1478888482441412610|521747968|Thu Jan 06 00:37:45 +0000 2022|"A year ago today Georgians made history.

In ‘22, we’ll do it again.

Tonight I officially endorsed the extraordina… https://t.co/yzjeNokKUZ"|en|D|1401|11393
1478750873815814145|521747968|Wed Jan 05 15:30:56 +0000 2022|"Join @StaceyAbrams and me tonight! 
https://t.co/dWHUSN4zxH https://t.co/YgTasD6A6l"|en|D|275|1485
1478717853830459392|521747968|Wed Jan 05 13:19:44 +0000 2022|https://t.co/OAFtKawy9Y|und|D|1207|14692
1474766924504514563|521747968|Sat Dec 25 15:40:09 +0000 2021|Merry Christmas to all — from our family to you and yours, may this day and season be joyous, peaceful, and full of love! 🎄✨|en|D|865|16131
1473721123015639043|521747968|Wed Dec 22 18:24:30 +0000 2021|"FOR YOUR FINANCIAL PLANNING: 

The federal student loan repayment moratorium has been extended through May 1.

No i… https://t.co/nJinZdHEMp"|en|D|754|6063
1472959862636261376|521747968|Mon Dec 20 15:59:32 +0000 2021|Alisha and I are overjoyed and totally in love with Eva Beth Ossoff, our first child, who arrived Friday evening.… https://t.co/hrhQGGeSTb|en|D|4591|115157
1470547281762000898|521747968|Tue Dec 14 00:12:48 +0000 2021|Infrastructure! https://t.co/ha6D1wWTLN|ca|D|656|3682
1469825673745342471|521747968|Sun Dec 12 00:25:23 +0000 2021|Yes we can https://t.co/ZSSQLQUQb5|en|D|1868|16787
1468768073788313602|521747968|Thu Dec 09 02:22:51 +0000 2021|"BREAKING: My Rural Opioid Abuse Prevention Act just passed the U.S. Senate. 

Thanks @ChuckGrassley for the teamwork."|en|D|3551|40682
1465092256407461893|521747968|Sun Nov 28 22:56:28 +0000 2021|🔘🔘🔘🔘🔘🔘🔘🕯|und|D|556|12694
1463290476946243588|521747968|Tue Nov 23 23:36:50 +0000 2021|It’s a typical Tuesday night, except Mayor Davis and I are discussing all the infrastructure upgrades coming soon t… https://t.co/usyQIFKhmM|en|D|511|5895
1463269494474870788|521747968|Tue Nov 23 22:13:28 +0000 2021|Be kind to each other. https://t.co/IQC7YN1lID|en|D|1504|19959
1463216408121298947|521747968|Tue Nov 23 18:42:31 +0000 2021|"Thank you to the transit workers who keep Americans moving every day.

This morning in Columbus, Ga. https://t.co/aW3Ii0814b"|en|D|277|3032
1463189921296957445|521747968|Tue Nov 23 16:57:16 +0000 2021|Just met with transit workers at METRA in Columbus about opportunities to expand routes and service via the biparti… https://t.co/Iq06El6IW4|en|D|78|602
1463188826155794434|521747968|Tue Nov 23 16:52:55 +0000 2021|"More transit
More parks
More electric vehicles"|en|D|1096|9818
1463134941550628875|521747968|Tue Nov 23 13:18:48 +0000 2021|On the road today in Columbus, Macon, and Augusta to brief constituents on the bipartisan infrastructure bill Congr… https://t.co/HiaUBcfB2i|en|D|185|1381
1462970742707044357|521747968|Tue Nov 23 02:26:20 +0000 2021|Briefing HBCU leaders and students today on my bill to expand cybersecurity training opportunities at HBCUs — it ha… https://t.co/KRqlCl00Cj|en|D|341|2654
1461099033410387974|521747968|Wed Nov 17 22:28:50 +0000 2021|Inspecting U.S. and South Korean troops along the border between North and South Korea, also known as the demilitar… https://t.co/fCBX7FvuPQ|ko|D|107|1035
