id|user|created_at|text|lang|label|retweet_count|favorite_count
1507168355274395650|234469322|Fri Mar 25 01:31:52 +0000 2022|How ‘bout those Hogs!! WOO PIG!!! 🐗🐗🐗 @RazorbackMBB on to the #Elite8! https://t.co/t8GeiSf8a1|en|R|3|23
1506749496469897219|234469322|Wed Mar 23 21:47:28 +0000 2022|I've been underscoring the Biden Admin's lack of action on COFA renegotiations for months. They finally heeded thes… https://t.co/a192tTNR9t|en|R|1|3
1506741833396850690|234469322|Wed Mar 23 21:17:01 +0000 2022|"“52% of small-business owners said that higher energy prices were affecting their businesses"" 

Under President Bid… https://t.co/xETr00zhfQ"|en|R|2|5
1506708921175711748|234469322|Wed Mar 23 19:06:14 +0000 2022|Madeleine Albright was the first woman to serve as U.S. Secretary of State. A fierce advocate for strong foreign po… https://t.co/VAcxbtBPbq|en|R|1|8
1506347400050450436|234469322|Tue Mar 22 19:09:41 +0000 2022|Happy #NationalAgDay to the Natural State's hardworking farmers, ranchers, and producers. From the crops sprouting… https://t.co/fuXAneXtPt|en|R|3|7
1506333377133260820|234469322|Tue Mar 22 18:13:58 +0000 2022|The sound of freedom in our skies—which will soon be welcomed to Fort Smith—is being supported by work happening ri… https://t.co/9T0NLVnoZt|en|R|2|7
1505958397597868037|234469322|Mon Mar 21 17:23:55 +0000 2022|Agriculture is a way of life in Arkansas. Proud of the farmers, ranchers, and producers of the Natural State and th… https://t.co/SxXcErLk0d|en|R|2|7
1505018419149746183|234469322|Sat Mar 19 03:08:47 +0000 2022|The Dean of the House will be greatly missed. @repdonyoung was a legend—full of character and fight for Alaska and… https://t.co/IDr4keTuCi|en|R|3|12
1504776917211361301|234469322|Fri Mar 18 11:09:09 +0000 2022|WPS!!! 🐗🐗🐗 https://t.co/D8z8NGUefv|und|R|1|9
1504644714179571733|234469322|Fri Mar 18 02:23:49 +0000 2022|Let’s go @RazorbackMBB! https://t.co/Hm2Eg7tV6q|en|R|2|6
1504540013400363008|234469322|Thu Mar 17 19:27:46 +0000 2022|Happy 39th birthday to my son William! https://t.co/UXfV4vGKfl|en|R|1|9
1504535922611736590|234469322|Thu Mar 17 19:11:31 +0000 2022|The American Energy Independence from Russia Act prioritizes our national security and restores American energy pro… https://t.co/0uDdvCJ7rg|en|R|2|6
1504528585897435136|234469322|Thu Mar 17 18:42:22 +0000 2022|We know where the blame lies... Here's how we unleash U.S. production and use American energy as a tool for freedom… https://t.co/Uuu7RCP1Ts|en|R|25|63
1504518520033398788|234469322|Thu Mar 17 18:02:22 +0000 2022|"I'm proud to deliver wins for #AR3: 
""The positive impacts that I-49 will bring to western Arkansas in terms of eco… https://t.co/HtMfF9kwZP"|en|R|2|1
1504453404936241154|234469322|Thu Mar 17 13:43:37 +0000 2022|"Happy #StPatricksDay!

🍀Green tie
🍀Festive socks
🍀Shamrock pocket square

Ready for legislative business and feelin… https://t.co/yFmsh9ykMK"|en|R|2|33
1504214603483553798|234469322|Wed Mar 16 21:54:43 +0000 2022|#OTD in 1802, @WestPoint_USMA—the 1st US military school—was founded. 220 years later, USMA is still preparing our… https://t.co/iUqthSNcje|en|R|1|6
1504208707986636809|234469322|Wed Mar 16 21:31:17 +0000 2022|More Arkansas in DC: Great seeing my friend and @ARMuniLeague Executive Director Mark Hayes! As a former mayor, I k… https://t.co/LGFM3iTzjP|en|R|1|11
1504193121206288384|234469322|Wed Mar 16 20:29:21 +0000 2022|.@WTCArkansas CEO Denise Thomas and I both agree that trade is vitally important to Arkansas. We discussed upcoming… https://t.co/C5yvkOW1eL|en|R|1|4
1504184677770350601|234469322|Wed Mar 16 19:55:48 +0000 2022|Thanks to @UArkansas Professor Tricia Starks and Rebecca Clendenen of Siloam Springs for the conversations on human… https://t.co/ZEU8FnH7y0|en|R|1|3
1504141387561902080|234469322|Wed Mar 16 17:03:47 +0000 2022|"""This moment has to be met with collective leadership to provide Ukraine with what is needed to defend freedom and… https://t.co/dvIszsZmzU"|en|R|0|8
1504098618986401794|234469322|Wed Mar 16 14:13:50 +0000 2022|President Zelenskyy movingly spoke of Ukrainians fighting for their lives and against Putin’s evil. We’ve seen the… https://t.co/Qr6qUDbnBJ|en|R|3|33
1503846837689761794|234469322|Tue Mar 15 21:33:20 +0000 2022|WOO PIG! Congrats to @HunterYurachek on being honored by the National Association of Collegiate Directors of Athlet… https://t.co/OAMAv7gu6H|en|R|1|7
1503843120785592328|234469322|Tue Mar 15 21:18:34 +0000 2022|Thank you to @FYVgov's Susan Norton for visiting today. We spoke about the great impact the $3 million investment I… https://t.co/7pkYPQ5fjS|en|R|1|13
1503832419404767233|234469322|Tue Mar 15 20:36:03 +0000 2022|#AR3 in DC: Talking to Dr. Jeff Rhodes of Rogers about pediatric dentistry, training, and surgery center services.… https://t.co/dJGY863cRW|en|R|1|5
1503728421158989824|234469322|Tue Mar 15 13:42:48 +0000 2022|#AR3 High School Students: If you are interested in attending a military service academy or joining ROTC or… https://t.co/Nv5HVdGgUL|en|R|4|6
1503718224927592449|234469322|Tue Mar 15 13:02:17 +0000 2022|"""You’ll learn a lot about a country when you see how they treat those that serve it in uniform,” said Womack. “We’r… https://t.co/3ag2KmnrnG"|en|R|2|3
1503424380054949893|234469322|Mon Mar 14 17:34:39 +0000 2022|It's telling that a native Arkansan was so moved by Ukraine's fight for freedom, he put himself in harm’s way to re… https://t.co/54UWOAPwXx|en|R|6|12
1502828542094159875|234469322|Sun Mar 13 02:07:00 +0000 2022|3A Champions! Congrats to the Panthers and Coach James Halitzka! 🏀🏀🏀 https://t.co/ImpKErxJQQ|en|R|2|8
1502727933793902593|234469322|Sat Mar 12 19:27:13 +0000 2022|Created by those who have worn the uniform, #AR3's Camp Jack offers a safe and welcoming environment for veterans a… https://t.co/eCW419zUI4|en|R|1|6
1502726211960770573|234469322|Sat Mar 12 19:20:22 +0000 2022|My deepest condolences are with the Boshears family and @ArkansasTech community as Jesse was laid to rest this week… https://t.co/rppteuPsUr|en|R|1|6
1502653490002288650|234469322|Sat Mar 12 14:31:24 +0000 2022|Lavaca is bringing the 2A boys champion trophy back to Sebastian County! This is their first title in program histo… https://t.co/lGRczrTkNY|en|R|1|4
1502288483297206276|234469322|Fri Mar 11 14:21:00 +0000 2022|ICYMI: Learn about the funding coming back to support Arkansas community projects! Proud to deliver these wins for… https://t.co/m24QPCjSdz|en|R|1|4
1502069723411931140|234469322|Thu Mar 10 23:51:43 +0000 2022|"More #AR3 Basketball State Finals tonight!🏀🏀🏀

6A Girls: Northside vs. N. Little Rock at 6:00 pm
6A Boys: Bentonvil… https://t.co/DJoGqaqY6R"|en|R|1|5
1502007701903228930|234469322|Thu Mar 10 19:45:16 +0000 2022|"5A CHAMPIONS!

🏀🏀🏀

Congratulations to the Lady Bulldogs, Coach Clay Reeves, and Assistant Coach Ryan Lensing! #AR3… https://t.co/4EMo7erEOD"|en|R|4|16
1501977109991993347|234469322|Thu Mar 10 17:43:43 +0000 2022|Vote for Heba for #MSOY22! A native of Harrison, she is dedicated to serving and supporting our heroes in uniform! https://t.co/P9ZmODJpEX|en|R|1|3
1501976007145889796|234469322|Thu Mar 10 17:39:20 +0000 2022|5A girls state basketball finals are at 12 p.m. CT today. @GWoodDogPound will face off against Jonesboro. Let's go… https://t.co/JSkYh0z8Fp|en|R|2|9
