id|user|created_at|text|lang|label|retweet_count|favorite_count
1506027290777505804|22055226|Mon Mar 21 21:57:41 +0000 2022|Matt Perna didn’t harm anyone, yet Biden's vengeful DOJ sought to throw the book at him. This led to the end of his… https://t.co/WkJzJNV7rY|en|R|282|649
1504900462335737864|22055226|Fri Mar 18 19:20:04 +0000 2022|The weather was not cooperative for our press conference yesterday, but we @RepAndyBiggsAZ @RepMTG stood with Matt… https://t.co/dvfqpb7wbB|en|R|190|325
1504590807420092419|22055226|Thu Mar 17 22:49:37 +0000 2022|"Geri Perna's prepared remarks from the press conference today honoring the life of Matthew Perna

We will stand aga… https://t.co/YU3F0Ivq6D"|en|R|152|381
1504521702071586821|22055226|Thu Mar 17 18:15:01 +0000 2022|Rep. Louie Gohmert, Repo. Marjorie Taylor Greene and Rep. Andy Biggs Hold a Press Conference Demanding Justice for… https://t.co/n40EW1GUUQ|en|R|301|795
1504457002973552642|22055226|Thu Mar 17 13:57:55 +0000 2022|Join me today for a live press conference with @RepAndyBiggsAZ @RepMTG at 2: 10 pm ET to Demand Justice from Biden'… https://t.co/VFsCXlt8ro|en|R|157|477
1504206932990742534|22055226|Wed Mar 16 21:24:14 +0000 2022|"We’re going in the wrong direction. 

We should be coming together, not advocating for a Orwellian Ministry of Love… https://t.co/ysxhBFyxlo"|en|R|83|239
1502425324675600398|22055226|Fri Mar 11 23:24:45 +0000 2022|1/5 The @dallasnews didn't do their homework in their haste to say something derogatory about me and @RepChipRoy… https://t.co/7Q0qeZVWBq|en|R|19|89
1501949819333451781|22055226|Thu Mar 10 15:55:16 +0000 2022|It’s time to make America energy independent again and stop the war on American seniors, Americans on fixed incomes… https://t.co/OMPvM7Ql60|en|R|76|238
1501774700908843011|22055226|Thu Mar 10 04:19:24 +0000 2022|"Rep. Louie Gohmert Asks Democrats to Put Americans First, Not Joe Biden's other Tyrant Cronies 

There is no way I… https://t.co/7JndVTR26V"|en|R|103|299
1498844288532324362|22055226|Wed Mar 02 02:15:00 +0000 2022|"Why didn't we have this supply chain problem under President Trump?

Because we were manufacturing what we needed i… https://t.co/1mgN8ObrkA"|en|R|45|162
1498783949602148360|22055226|Tue Mar 01 22:15:14 +0000 2022|"If we don't get back 

To making sure children in America 

Know how to sustain a republic 

We are going to lose i… https://t.co/GFcjDlF3D2"|en|R|58|163
1498393209587834884|22055226|Mon Feb 28 20:22:34 +0000 2022|Texas doctor, Eric Hensen, is currently facing what the Texas Medical Board calls a ‘non-disciplinary remedial plan… https://t.co/yVRtU08mzS|en|R|54|125
1497376671015579649|22055226|Sat Feb 26 01:03:12 +0000 2022|"4 million illegals crossed the border within this last year.

It doesn’t take long to completely eliminate the free… https://t.co/uFRsqRBnLm"|en|R|100|235
1493616042056290320|22055226|Tue Feb 15 15:59:49 +0000 2022|Instead of demonizing unvaccinated Americans, the president can bring the country together and promote all options… https://t.co/7sm5ek4r3A|en|R|26|112
