id|user|created_at|text|lang|label|retweet_count|favorite_count
1506407883189202949|32289500|Tue Mar 22 23:10:01 +0000 2022|Heartbroken to hear this news. Sending prayers to the families of these students and the entire Tishomingo communit… https://t.co/9igZrYUk0c|en|R|2|6
1505689731811663873|32289500|Sun Mar 20 23:36:21 +0000 2022|Coach K lives to coach another day … #MarchMadness|en|R|1|4
1505377637568585728|32289500|Sun Mar 20 02:56:12 +0000 2022|This is #MarchMadness|en|R|1|13
1503031658055979018|32289500|Sun Mar 13 15:34:06 +0000 2022|Well done, Avi and Marco! https://t.co/z3NAN7xNDn|en|R|1|11
1503022270972932101|32289500|Sun Mar 13 14:56:48 +0000 2022|Interesting thread about DST ⤵️⤵️⤵️ https://t.co/X1XZdrzNtg|en|R|2|9
1502681908592918530|32289500|Sat Mar 12 16:24:20 +0000 2022|Great explanation of the facts surrounding current oil and gas prices. ⤵️⤵️⤵️ https://t.co/ulklJR3P64|en|R|12|23
1498755913540415494|32289500|Tue Mar 01 20:23:49 +0000 2022|250M barrels in 2021 totaling approximately $18B going to Russia &amp; Putin … #GoDomestic https://t.co/acfHK69lEf|en|R|6|13
1498019882994184193|32289500|Sun Feb 27 19:39:06 +0000 2022|Misdiagnosis?? We’re purchasing almost 600k barrels a day from Russia instead of producing affordable energy in sta… https://t.co/BItk9xJCEF|en|R|8|47
1497581359497371649|32289500|Sat Feb 26 14:36:34 +0000 2022|This ⤵️⤵️⤵️⤵️ https://t.co/GKpqnHenHj|en|R|2|24
1494419966338101250|32289500|Thu Feb 17 21:14:19 +0000 2022|Please reopen “The People’s House” https://t.co/lRDHTqxNV6|en|R|1|3
1494377216578363400|32289500|Thu Feb 17 18:24:27 +0000 2022|How about supporting American energy production, @POTUS ? Sad this administration wants to support foreign countrie… https://t.co/pOSYIu6cqn|en|R|1|11
1494325781236903948|32289500|Thu Feb 17 15:00:04 +0000 2022|Today is #NationalRandomActsofKindnessDay. Respond to this post with one thing you did today to make someone else’s day a little better.|en|R|1|11
1493623641262624769|32289500|Tue Feb 15 16:30:00 +0000 2022|"Inflation is skyrocketing, and Joe Biden’s approval rating just hit rock bottom. 

When our economy should be recov… https://t.co/Y3qcemgzT0"|en|R|2|16
1493590145253228546|32289500|Tue Feb 15 14:16:54 +0000 2022|Hey @AJ_GriffinOK … check this out 💪🏼💪🏼 https://t.co/LLnXTzX4nV|en|R|2|15
1493351847326732290|32289500|Mon Feb 14 22:30:00 +0000 2022|"Happy #ValentinesDay! Celebrate in #OKC at these top spots! I hope you enjoy this day with loved ones. 💙 

https://t.co/WSgI4PpOJj"|en|R|1|5
1492879087957909512|32289500|Sun Feb 13 15:11:25 +0000 2022|"If the @NBA thinks cancelling @EnesFreedom 
will keep him from speaking out against the atrocities perpetrated by t… https://t.co/STqqtFc3Zu"|en|R|286|641
1492619528135602178|32289500|Sat Feb 12 22:00:01 +0000 2022|"❌Highest inflation rate in 40 years
❌Shortage of supplies &amp; workers
❌Crippling prices that drain Americans’ wallets… https://t.co/92XTHfDTcz"|en|R|3|11
1492211838645325830|32289500|Fri Feb 11 19:00:00 +0000 2022|The GOP’s 2022 #RedWave starts at the grassroots level! RT if you’re ready to take back the House Majority 🇺🇸|en|R|19|55
1491441775940026370|32289500|Wed Feb 09 16:00:03 +0000 2022|Reckless federal spending has consequences. As the national debt hits $30 trillion, it should serve as a yield sign… https://t.co/SLeiLlZ0VK|en|R|2|4
1491147324155957257|32289500|Tue Feb 08 20:30:00 +0000 2022|Biden’s lax immigration laws at the border have spurred migrants from countries as far away as Turkey, Russia, and… https://t.co/wymgJBJVri|en|R|3|9
1490784935866634241|32289500|Mon Feb 07 20:30:00 +0000 2022|It’s #BlackHistoryMonth. This month and every month, let’s reflect on the rich history of Black Americans and celeb… https://t.co/ebLYrQLLf4|en|R|1|5
1490732137301135367|32289500|Mon Feb 07 17:00:12 +0000 2022|Way to go Wally!! cc: @okstate_axo @okstate https://t.co/gAj1VPom5U|en|R|1|4
1490191115999453185|32289500|Sun Feb 06 05:10:23 +0000 2022|Incredible images from Mars! #NASA @NASAJPL @NASA https://t.co/Tt3T6inRzN|en|R|1|10
1489629824788221952|32289500|Fri Feb 04 16:00:00 +0000 2022|"When will  ""too much government” be “enough” government? Still waiting for answers from the Left. 

https://t.co/NJNcojH7UG"|en|R|3|8
1489252349277196299|32289500|Thu Feb 03 15:00:03 +0000 2022|As today is #FourChaplains day, let’s take a moment to commemorate the four valiant lives lost 55 years ago when th… https://t.co/M18gk1FsNT|en|R|2|5
1489217453016199168|32289500|Thu Feb 03 12:41:23 +0000 2022|“There’s just no other country that presents a broader threat to our ideas, innovation and economic security than C… https://t.co/QCVeRdS9J5|en|R|2|9
1488263319291150338|32289500|Mon Jan 31 21:30:00 +0000 2022|"Joe Biden’s 4-decade high inflation crisis gets heavy criticism from Americans. 

His response: “More inflation.”… https://t.co/vA6s8QerMV"|en|R|1|5
1487412731204493314|32289500|Sat Jan 29 13:10:04 +0000 2022|I was today years old when I learned there are two sizes of butter sticks … https://t.co/pOhcPMz8Cu|en|R|2|20
1487100657932853254|32289500|Fri Jan 28 16:30:00 +0000 2022|It’s nearly impossible to pin Nancy Pelosi down on one issue. She is the queen of flip-flopping &amp; hypocrisy. Matter… https://t.co/1WDQN69JBx|en|R|1|6
1486722473592639511|32289500|Thu Jan 27 15:27:14 +0000 2022|"🚨 One kilo (2.2 pounds) of fentanyl has the potential kill over 500,000 people. (https://t.co/8xL2eyC5KI) 

And the… https://t.co/k9kpv1Axga"|en|R|1|1
1486406080993251328|32289500|Wed Jan 26 18:30:00 +0000 2022|Watch out, Democrats. The Red Wave is rising in 2022. 🔴🌊 https://t.co/M3RmC79mha|en|R|4|9
1484246854242029571|32289500|Thu Jan 20 19:30:00 +0000 2022|"❌Extreme violence at the border
❌Stalled supply chain 
❌Catastrophic levels of Bidenflation

One year into his pres… https://t.co/VdIt9UcPAB"|en|R|3|16
