id|user|created_at|text|lang|label|retweet_count|favorite_count
1520051556577595393|172858784|Fri Apr 29 14:45:06 +0000 2022|Horrific. I’m pushing to pass my International Press Freedom Act to strengthen and authorize new funding for programs that help keep foreign journalists safe — including creating a new visa category allowing threatened journalists to come to the U.S. https://t.co/B0PPaJrNFo|en|D|31|93
1520029853210267649|172858784|Fri Apr 29 13:18:52 +0000 2022|I’m fighting to pass legislation that would lower health care premiums, prescription drug costs, and child care costs — three of the biggest cost drivers for American families. Let’s get it done.|en|D|69|413
1519799267141070848|172858784|Thu Apr 28 22:02:36 +0000 2022|It’s outrageous that some Americans are paying up to $900 a month for the insulin they need to stay alive. We’ve got to pass @ReverendWarnock’s bill to cap people’s out-of-pocket costs for insulin at $35 per month ASAP.|en|D|80|414
1519766064690876418|172858784|Thu Apr 28 19:50:40 +0000 2022|"Proud to have NATO operations in Norfolk. 

We must continue to stand with our NATO allies. That’s why I’m pushing the Senate to pass my bipartisan bill to prevent any U.S. president from leaving the alliance without Congressional approval. https://t.co/Rgoh957ObA"|en|D|31|127
1519329454929195009|172858784|Wed Apr 27 14:55:44 +0000 2022|In National Cathedral awaiting Madeleine Albright’s funeral. Spring sunshine through stained glass. https://t.co/pkK6lyhJxA|en|D|174|1929
1518942929724841985|172858784|Tue Apr 26 13:19:49 +0000 2022|I’m holding Dr. Breen’s loved ones in my heart today—on the two year anniversary of her tragic death by suicide. Following the signing of our Dr. Lorna Breen Health Care Provider Protection Act in March, we must keep fighting to support our healers. https://t.co/KBJ3AHzTP5|en|D|37|135
1517849203501944833|172858784|Sat Apr 23 12:53:45 +0000 2022|"🚘 Pearisburg➡️Falls Mills➡️Tazewell➡️Grundy➡️Hurley➡️Breaks➡️Clintwood➡️Bristol➡️Abingdon➡️Troutdale➡️Emory➡️Blacksburg➡️Blackstone➡️Lynchburg. 

Another fantastic road trip across VA! Eager to take the discussions I had back to Congress as I work to support these communities. https://t.co/1x6jl2vJfz"|en|D|33|193
1517209834805997568|172858784|Thu Apr 21 18:33:07 +0000 2022|Powerful discussion on long COVID in Abingdon with @BalladHealth providers and patients. The stories of Virginians experiencing long COVID tugged at my heartstrings and underscored the urgency to pass our CARE for Long COVID Act to boost research and support. https://t.co/qWWJJhEV7r|en|D|28|114
1517150573912465409|172858784|Thu Apr 21 14:37:38 +0000 2022|We must keep linking arms with our allies to support Ukraine and hold Putin accountable. https://t.co/B3JZIp33mj|en|D|22|121
1516785328736149504|172858784|Wed Apr 20 14:26:17 +0000 2022|Grateful for @accessfund showing me the ropes of new trails and opportunities for climbers at Breaks Interstate Park https://t.co/IPyl3hBBGI|en|D|13|81
